e,z,n
0.057,0,0
0.064,0,0
0.064,0,0
0.066,1,0
0.462,0,0
0.086,0,0
0.114,0,0
0.117,0,0
0.118,0,0
0.119,0,0
0.126,0,0
0.231,1,0
0.261,1,0
0.211,1,0
0.216,1,0
0.218,0,0
0.648,1,0
0.143,0,0
0.144,2,0
0.21,1,0
0.244,0,0
0.53,3,0
0.796,2,0
1.622,4,0
0.561,2,0
0.762,0,0
1.222,1,0
0.513,4,0
0.532,0,0
0.936,1,0
0.503,1,0
0.564,0,0
0.572,2,0
0.583,0,0
0.722,0,0
0.771,2,0
1.873,4,0
0.532,0,0
0.584,0,0
0.672,2,0
0.722,1,0
0.904,1,0
1.236,0,0
0.95,0,0
1.405,1,0
0.776,3,0
1.013,0,0
0.739,0,0
1.77,1,0
0.821,0,0
1.115,2,0
1.164,3,0
1.164,0,0
1.303,0,0
1.774,3,0
3.585,1,0
1.193,1,0
1.213,1,0
1.232,1,0
1.517,4,0
1.52,3,0
1.862,3,0
1.888,1,0
1.247,0,0
1.381,2,0
1.643,2,0
1.66,4,0
1.827,4,0
1.486,3,0
1.593,2,0
2.265,4,0
1.524,1,0
1.759,3,0
1.309,0,0
1.529,4,0
1.677,1,0
1.654,2,0
1.785,3,0
1.979,4,0
1.767,4,0
2.465,2,0
1.75,2,0
2.458,4,0
2.383,2,1
2.717,3,1
2.282,0,1
2.115,0,1
2.852,2,1
2.856,5,1
3.174,5,1
2.369,1,1
2.557,1,1
3.859,3,1
2.641,1,1
2.741,1,1
3.055,3,1
3.513,1,1
2.728,2,1
3.354,6,1
3.814,0,1
4.014,2,1
2.612,2,1
2.815,1,1
4.294,2,1
3.45,8,1
3.628,6,1
4.219,1,1
3.932,6,1
4.082,4,1
4.203,1,1
4.022,3,1
4.636,5,1
5.571,2,1
6.436,4,1
5.344,3,1
4.445,4,1
4.705,5,1
5.039,2,1
6.043,6,1
5.121,8,1
11.26,5,1
5.789,0,1
6.044,6,1
5.569,8,1
6.13,7,1
6.249,3,1
7.002,3,1
7.851,9,1
9.573,7,1
12.05,18,1
12.131,17,1
